finance_id,model_id,year,country,units_sold,total_revenue,profit,min_price,max_price,revenue_per_unit,average_profit_margin_pct,tax_rate_pct,import_duty_usd,local_manufacturing_cost_usd,marketing_expense_usd,r_and_d_expense_usd,warranty_cost_usd,dealer_commission_pct,currency,exchange_rate_to_usd,net_profit_usd,gross_margin_usd,operating_expense_usd,net_revenue_usd,tax_paid_usd,interest_expense_usd,cash_flow_usd,capital_expenditure_usd,depreciation_usd,amortization_usd,ebitda_usd,ebit_usd,net_income_usd,dividend_usd,shares_outstanding
1,1,2015,India,643,35952914.463744394,5479224.164274646,15883.85,50321.79,55914.330425730004,15.24,11.5,253.46,15901.8,9626.16,15619.41,1563.37,9.08,GBP,0.9325,1344639.0009440403,35936759.2037444,99458.32,35853456.143744394,4134585.1633306057,3293.7,73417.97,53563.09,10216.53,4897.15,35868569.823744394,35865276.12374439,31730690.960413784,4148.5,3823430
2,1,2016,India,3044,209494486.35410994,39447811.780478895,11801.97,47585.71,68822.10458413599,18.83,16.34,868.3,15367.48,2718.16,8556.38,1098.61,3.9,INR,1.3032,5216412.710217327,209478250.57410994,80347.84,209414138.51410994,34231399.07026157,6484.64,105528.28,25137.18,8555.6,4576.06,209427270.17410994,209420785.53410995,175189386.46384838,1758.15,3418222
3,1,2017,India,2018,118562462.20580673,17191557.019841976,13663.05,53369.41,58752.45897215398,14.5,15.33,578.44,5346.0,14683.16,2576.56,2587.29,5.49,JPY,0.7284,-984068.436308194,118556537.76580673,75073.15,118487389.05580673,18175625.45615017,10871.65,48936.72,21902.0,4280.79,5946.75,118497616.59580673,118486744.94580673,100311119.48965655,1661.57,3059741
4,1,2018,India,2406,149707863.58581856,38040768.137156494,13280.79,67619.91,62222.719694853935,25.41,19.12,1112.08,19747.63,2132.29,7501.71,3094.24,9.45,JPY,1.0637,9416624.619547985,149687003.87581855,49498.03,149658365.55581856,28624143.51760851,12025.8,70143.33,7857.05,8800.91,7870.91,149675037.37581855,149663011.57581854,121038868.05821003,3561.33,1714073
5,1,2019,India,1544,92890877.49847655,16515998.01922913,16591.58,71702.5,60162.48542647445,17.78,16.02,691.1,14155.22,8780.47,6965.48,2489.52,3.41,INR,1.0061,1634879.4439731892,92876031.17847656,80597.46,92810280.03847656,14881118.575255942,11033.21,109312.33,51384.85,10062.76,7322.81,92827665.60847656,92816632.39847657,77935513.82322063,4245.92,4808363
6,1,2020,India,3092,120446910.00708298,16368735.069962578,14320.66,45920.19,38954.369342523605,13.59,6.07,1087.66,21298.17,2520.69,3488.76,575.05,3.72,JPY,0.555,9057607.632532641,120424524.17708299,43657.93,120403252.07708298,7311127.4374299375,6038.51,98314.48,55713.61,8479.1,2863.34,120414594.51708297,120408556.00708297,113097428.56965303,1382.46,1617474
7,1,2021,India,2913,108019678.5757328,29078897.472587273,13683.24,22303.92,37081.935659365874,26.92,10.2,589.25,21828.73,2547.41,4699.62,4461.69,3.33,JPY,1.4344,18060890.257862527,107997260.5957328,60657.38,107959021.1957328,11018007.214724746,5894.5,45742.04,58285.64,8269.06,6407.19,107973697.4457328,107967802.9457328,96949795.73100805,1051.92,4723834
8,1,2022,India,326,12135287.33945079,2543556.226348886,11728.27,29636.64,37224.80778972635,20.96,6.19,1170.84,13291.54,12484.85,5272.82,5139.62,7.93,INR,1.1825,1792381.940036882,12120824.95945079,71699.49,12063587.84945079,751174.2863120039,4239.7,113126.79,57125.95,3191.07,7870.7,12074649.619450789,12070409.91945079,11319235.633138785,3016.01,3496250
9,1,2023,India,3418,238644578.89792392,48683494.09517648,8799.86,40383.78,69819.94701519131,20.4,9.7,708.53,24770.97,7270.67,2479.39,3493.58,8.25,EUR,0.6316,25534969.942077864,238619099.39792392,60532.41,238584046.48792392,23148524.153098617,7500.5,48827.67,33958.71,8483.02,2683.92,238595213.42792392,238587712.92792392,215439188.7748253,1484.67,1330837
10,1,2024,India,5088,150956034.07235017,25058701.656010132,11488.06,21111.24,29669.031853842407,16.6,5.25,1295.48,3184.82,12273.12,5019.03,1360.94,9.99,JPY,0.7584,17133509.867211748,150951553.7723502,98872.73,150857161.34235018,7925191.788798384,2081.21,75264.63,31800.08,3228.73,2433.67,150862823.74235016,150860742.53235015,142935550.74355176,2806.1,4018118
